3  (1,4)
2,F3  (1,4)
2,D3  (1,4)
2,D2  (1,4)
2.5,Gb1  (9,12)
3.5,Gb1  (9,12)
4,F3  (1,4)
4,D3  (1,4)
4,Bb1  (1,4)
4,A3  (1,4)
4.5,Gb1  (9,12)
5.5,Gb1  (9,12)
6,D2  (1,4)
6,F3  (1,4)
6,D3  (1,4)
6,Bb2  (1,4)
6.5,Gb1  (9,12)
7.5,Gb1  (9,12)
8,E3  (1,4)
8,A2  (1,4)
8,C3  (1,4)
8,A1  (1,4)
8.5,Gb1  (9,12)
9.5,Gb1  (9,12)
10,A3  (5,8)
10,F3  (5,8)
10,D3  (5,8)
10,D2  (5,8)
10,A3  (1,4)
10,F3  (1,4)
10,D3  (1,4)
10,D2  (1,4)
10.5,Gb1  (9,12)
11.25,D3  (3,6)
11.375,E3  (3,6)
11.5,Gb1  (9,12)
11.5,F3  (3,6)
11.75,G3  (3,6)
11.875,A3  (3,6)
12,F3  (5,8)
12,D3  (5,8)
12,Bb1  (5,8)
12,A3  (5,8)
12,F3  (1,4)
12,D3  (1,4)
12,Bb1  (1,4)
12,A3  (1,4)
12.5,G3  (3,6)
12.5,Gb1  (9,12)
12.5885416667,F3  (3,6)
12.6614583333,D3  (3,6)
13.5,Gb1  (9,12)
14,D2  (5,8)
14,F3  (5,8)
14,D3  (5,8)
14,Bb2  (5,8)
14,D2  (1,4)
14,F3  (1,4)
14,D3  (1,4)
14,Bb2  (1,4)
14,F3  (3,6)
14,A3  (3,6)
14.25,D3  (3,6)
14.25,F3  (3,6)
14.5,Gb1  (9,12)
14.5,G3  (3,6)
14.5,E3  (3,6)
14.75,D3  (3,6)
14.75,F3  (3,6)
15,E3  (3,6)
15,G3  (3,6)
15.25,D3  (3,6)
15.25,F3  (3,6)
15.5,Gb1  (9,12)
15.5,G3  (3,6)
15.5,E3  (3,6)
15.75,F3  (3,6)
15.75,D3  (3,6)
16,E3  (5,8)
16,A2  (5,8)
16,C3  (5,8)
16,A1  (5,8)
16,E3  (1,4)
16,A2  (1,4)
16,C3  (1,4)
16,A1  (1,4)
16.25,B2  (3,6)
16.25,D3  (3,6)
16.375,C3  (3,6)
16.375,E3  (3,6)
16.5,Gb1  (9,12)
16.5,A2  (3,6)
16.5,C3  (3,6)
17.25,F2  (3,6)
17.375,G2  (3,6)
17.5,A2  (3,6)
17.5,Gb1  (9,12)
17.625,G2  (3,6)
17.75,A2  (3,6)
17.875,C3  (3,6)
17.9895833333,D3  (6,9)
17.9895833333,A3  (6,9)
17.9895833333,F3  (6,9)
18,D3  (3,6)
18,D2  (1,4)
18,A3  (1,4)
18,D3  (1,4)
18,F3  (1,4)
18,C1  (9,12)
18,Gb1  (9,12)
18,Bb3  (9,12)
18.0052083333,D1  (0,3)
18.0052083333,Db2  (9,12)
18.125,Bb3  (9,12)
18.25,Gb1  (9,12)
18.25,Bb3  (9,12)
18.375,Bb3  (9,12)
18.4270833333,F3  (3,6)
18.4635416667,A3  (3,6)
18.4791666667,D4  (3,6)
18.484375,C4  (3,6)
18.5,D1  (9,12)
18.5,Gb1  (9,12)
18.5,Bb3  (9,12)
18.625,Bb3  (9,12)
18.75,Gb1  (9,12)
18.75,Bb3  (9,12)
18.7552083333,D1  (0,3)
18.875,C1  (9,12)
18.875,Bb3  (9,12)
19,C1  (9,12)
19,Gb1  (9,12)
19,Bb3  (9,12)
19.0052083333,D1  (0,3)
19.125,Bb3  (9,12)
19.25,Gb1  (9,12)
19.25,Bb3  (9,12)
19.375,Bb3  (9,12)
19.5,D1  (9,12)
19.5,Gb1  (9,12)
19.5,Bb3  (9,12)
19.5052083333,Gb2  (9,12)
19.625,Bb3  (9,12)
19.6302083333,D0  (0,3)
19.75,Bb3  (9,12)
19.7552083333,F0  (0,3)
19.875,Bb3  (9,12)
19.8802083333,Gb0  (0,3)
19.9895833333,Bb2  (6,9)
19.9895833333,D3  (6,9)
19.9895833333,F3  (6,9)
20,C1  (9,12)
20,Gb1  (9,12)
20,Bb3  (9,12)
20,D3  (1,4)
20,Bb2  (1,4)
20,F3  (1,4)
20,G1  (1,4)
20.0052083333,G0  (0,3)
20.125,Bb3  (9,12)
20.25,Gb1  (9,12)
20.25,Bb3  (9,12)
20.375,Bb3  (9,12)
20.5,D1  (9,12)
20.5,Gb1  (9,12)
20.5,Bb3  (9,12)
20.625,Bb3  (9,12)
20.75,Gb1  (9,12)
20.75,Bb3  (9,12)
20.875,C1  (9,12)
20.875,Bb3  (9,12)
20.8802083333,G0  (0,3)
21,C1  (9,12)
21,Gb1  (9,12)
21,Bb3  (9,12)
21.0052083333,G0  (0,3)
21.125,Bb3  (9,12)
21.25,Gb1  (9,12)
21.25,Bb3  (9,12)
21.375,Bb3  (9,12)
21.5,D1  (9,12)
21.5,Gb1  (9,12)
21.5,Bb3  (9,12)
21.5,A1  (1,4)
21.5052083333,Gb2  (9,12)
21.5052083333,A0  (0,3)
21.625,Bb3  (9,12)
21.75,Bb1  (9,12)
21.75,Bb3  (9,12)
21.875,Bb3  (9,12)
21.9895833333,D3  (6,9)
21.9895833333,F3  (6,9)
21.9895833333,A3  (6,9)
22,C1  (9,12)
22,Gb1  (9,12)
22,Bb3  (9,12)
22,F3  (1,4)
22,D3  (1,4)
22,Bb1  (1,4)
22,A3  (1,4)
22.0052083333,Bb0  (0,3)
22.125,Bb3  (9,12)
22.25,Gb1  (9,12)
22.25,Bb3  (9,12)
22.375,Bb3  (9,12)
22.5,D1  (9,12)
22.5,Gb1  (9,12)
22.5,Bb3  (9,12)
22.625,Bb3  (9,12)
22.75,Gb1  (9,12)
22.75,Bb3  (9,12)
22.875,C1  (9,12)
22.875,Bb3  (9,12)
22.8802083333,Bb0  (0,3)
23,C1  (9,12)
23,Gb1  (9,12)
23,Bb3  (9,12)
23.0052083333,Bb0  (0,3)
23.125,Bb3  (9,12)
23.25,Gb1  (9,12)
23.25,Bb3  (9,12)
23.375,Bb3  (9,12)
23.5,D1  (9,12)
23.5,Gb1  (9,12)
23.5,Bb3  (9,12)
23.5052083333,Gb2  (9,12)
23.625,Bb3  (9,12)
23.75,Gb1  (9,12)
23.75,Bb3  (9,12)
23.875,Bb3  (9,12)
23.9895833333,G3  (6,9)
23.9895833333,C3  (6,9)
23.9895833333,E3  (6,9)
24,C1  (9,12)
24,Gb1  (9,12)
24,Bb3  (9,12)
24,G3  (1,4)
24,E3  (1,4)
24,C3  (1,4)
24,A1  (1,4)
24.0052083333,A0  (0,3)
24.125,Bb3  (9,12)
24.25,Gb1  (9,12)
24.25,Bb3  (9,12)
24.375,Bb3  (9,12)
24.5,D1  (9,12)
24.5,Gb1  (9,12)
24.5,Bb3  (9,12)
24.625,Bb3  (9,12)
24.6302083333,E1  (0,3)
24.75,Gb1  (9,12)
24.75,Bb3  (9,12)
